Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,284000.000000,284000.000000,284000.000000,284000.000000,284000.000000,0
2020-12-08,283000.000000,283000.000000,283000.000000,283000.000000,283000.000000,0
2020-12-09,283000.000000,283000.000000,283000.000000,283000.000000,283000.000000,0
2020-12-10,282000.000000,282000.000000,282000.000000,282000.000000,282000.000000,0
2020-12-11,279500.000000,279500.000000,279500.000000,279500.000000,279500.000000,0
2020-12-14,278500.000000,278500.000000,278500.000000,278500.000000,278500.000000,0
2020-12-15,276500.000000,276500.000000,276500.000000,276500.000000,276500.000000,0
2020-12-16,276500.000000,276500.000000,276500.000000,276500.000000,276500.000000,0
2020-12-17,276500.000000,276500.000000,276500.000000,276500.000000,276500.000000,0
2020-12-18,273500.000000,273500.000000,273500.000000,273500.000000,273500.000000,0
2020-12-21,275000.000000,275000.000000,275000.000000,275000.000000,275000.000000,0
2020-12-22,276000.000000,276000.000000,276000.000000,276000.000000,276000.000000,0
2020-12-23,277000.000000,277000.000000,277000.000000,277000.000000,277000.000000,0
2020-12-28,279000.000000,281000.000000,279000.000000,281000.000000,281000.000000,0
2020-12-29,283000.000000,283000.000000,283000.000000,283000.000000,283000.000000,0
2020-12-30,281500.000000,281500.000000,281500.000000,281500.000000,281500.000000,0
2021-01-04,279500.000000,279500.000000,279500.000000,279500.000000,279500.000000,0
2021-01-05,279500.000000,279500.000000,278500.000000,278500.000000,278500.000000,0
2021-01-06,284000.000000,284000.000000,284000.000000,284000.000000,284000.000000,0
2021-01-07,285000.000000,285000.000000,285000.000000,285000.000000,285000.000000,0
2021-01-08,286000.000000,286000.000000,286000.000000,286000.000000,286000.000000,0
2021-01-11,287500.000000,287500.000000,287500.000000,287500.000000,287500.000000,0
2021-01-12,288000.000000,288500.000000,288000.000000,288500.000000,288500.000000,0
2021-01-13,287000.000000,287000.000000,287000.000000,287000.000000,287000.000000,0
2021-01-14,290000.000000,290000.000000,290000.000000,290000.000000,290000.000000,0
2021-01-15,291000.000000,291000.000000,289000.000000,289000.000000,289000.000000,0
2021-01-18,290500.000000,290500.000000,290500.000000,290500.000000,290500.000000,0
2021-01-19,290500.000000,290500.000000,290000.000000,290000.000000,290000.000000,0
2021-01-20,290500.000000,290500.000000,290500.000000,290500.000000,290500.000000,0
2021-01-21,291500.000000,291500.000000,291000.000000,291000.000000,291000.000000,0
2021-01-22,287500.000000,287500.000000,287500.000000,287500.000000,287500.000000,0
2021-01-25,288500.000000,288500.000000,287000.000000,287000.000000,287000.000000,0
2021-01-26,288500.000000,288500.000000,288500.000000,288500.000000,288500.000000,0
2021-01-27,284500.000000,284500.000000,284500.000000,284500.000000,284500.000000,0
2021-01-28,290000.000000,290000.000000,290000.000000,290000.000000,290000.000000,0
2021-01-29,286000.000000,286000.000000,284000.000000,284000.000000,284000.000000,0
2021-02-01,286000.000000,286000.000000,286000.000000,286000.000000,286000.000000,0
2021-02-02,291500.000000,291500.000000,291500.000000,291500.000000,291500.000000,0
2021-02-03,291500.000000,291500.000000,291500.000000,291500.000000,291500.000000,0
2021-02-04,295500.000000,295500.000000,295500.000000,295500.000000,295500.000000,0
2021-02-05,296000.000000,296000.000000,296000.000000,296000.000000,296000.000000,0
2021-02-08,295000.000000,296000.000000,295000.000000,296000.000000,296000.000000,0
2021-02-09,294500.000000,294500.000000,294500.000000,294500.000000,294500.000000,0
2021-02-10,299000.000000,299000.000000,299000.000000,299000.000000,299000.000000,0
2021-02-11,298500.000000,298500.000000,298500.000000,298500.000000,298500.000000,0
2021-02-12,299000.000000,299000.000000,299000.000000,299000.000000,299000.000000,0
2021-02-15,304500.000000,304500.000000,304500.000000,304500.000000,304500.000000,0
2021-02-16,305000.000000,305500.000000,305000.000000,305500.000000,305500.000000,0
2021-02-17,306000.000000,307500.000000,306000.000000,307500.000000,307500.000000,0
2021-02-18,303500.000000,303500.000000,303500.000000,303500.000000,303500.000000,0
2021-02-19,303000.000000,303000.000000,303000.000000,303000.000000,303000.000000,0
2021-02-22,303500.000000,303500.000000,303500.000000,303500.000000,303500.000000,0
2021-02-23,303500.000000,303500.000000,303500.000000,303500.000000,303500.000000,0
2021-02-24,309000.000000,309000.000000,309000.000000,309000.000000,309000.000000,0
2021-02-25,309000.000000,309000.000000,309000.000000,309000.000000,309000.000000,0
2021-02-26,301500.000000,301500.000000,301500.000000,301500.000000,301500.000000,0
2021-03-01,311000.000000,311000.000000,311000.000000,311000.000000,311000.000000,0
2021-03-02,313000.000000,313000.000000,313000.000000,313000.000000,313000.000000,0
2021-03-03,318500.000000,318500.000000,318500.000000,318500.000000,318500.000000,0
2021-03-04,318500.000000,318500.000000,318500.000000,318500.000000,318500.000000,0
2021-03-05,315500.000000,315500.000000,315500.000000,315500.000000,315500.000000,0
2021-03-08,329000.000000,329000.000000,329000.000000,329000.000000,329000.000000,0
2021-03-09,332500.000000,332500.000000,332500.000000,332500.000000,332500.000000,0
2021-03-10,329000.000000,335500.000000,329000.000000,335500.000000,335500.000000,0
2021-03-11,334500.000000,334500.000000,334500.000000,334500.000000,334500.000000,0
2021-03-12,334000.000000,334000.000000,334000.000000,334000.000000,334000.000000,0
2021-03-15,326000.000000,326000.000000,326000.000000,326000.000000,326000.000000,0
2021-03-16,322000.000000,322000.000000,322000.000000,322000.000000,322000.000000,0
2021-03-17,322500.000000,322500.000000,322500.000000,322500.000000,322500.000000,0
2021-03-18,324000.000000,324000.000000,324000.000000,324000.000000,324000.000000,0
2021-03-19,320000.000000,320000.000000,320000.000000,320000.000000,320000.000000,0
2021-03-22,318500.000000,318500.000000,318500.000000,318500.000000,318500.000000,0
2021-03-23,321000.000000,321000.000000,321000.000000,321000.000000,321000.000000,0
2021-03-24,320500.000000,322500.000000,320500.000000,322500.000000,322500.000000,0
2021-03-25,320500.000000,320500.000000,318500.000000,318500.000000,318500.000000,0
2021-03-26,326000.000000,326000.000000,326000.000000,326000.000000,326000.000000,0
2021-03-29,328500.000000,332000.000000,328500.000000,332000.000000,332000.000000,0
2021-03-30,333000.000000,333000.000000,333000.000000,333000.000000,333000.000000,0
2021-03-31,331000.000000,331000.000000,331000.000000,331000.000000,331000.000000,0
2021-04-01,331000.000000,331000.000000,331000.000000,331000.000000,331000.000000,0
2021-04-06,334500.000000,334500.000000,334500.000000,334500.000000,334500.000000,0
2021-04-07,333000.000000,333000.000000,333000.000000,333000.000000,333000.000000,0
2021-04-08,332000.000000,332000.000000,332000.000000,332000.000000,332000.000000,0
2021-04-09,335000.000000,335000.000000,335000.000000,335000.000000,335000.000000,0
2021-04-12,336500.000000,338000.000000,336500.000000,338000.000000,338000.000000,0
2021-04-13,338000.000000,338000.000000,338000.000000,338000.000000,338000.000000,0
2021-04-14,337000.000000,337000.000000,337000.000000,337000.000000,337000.000000,0
2021-04-15,337000.000000,337000.000000,337000.000000,337000.000000,337000.000000,0
2021-04-16,341000.000000,341000.000000,341000.000000,341000.000000,341000.000000,0
2021-04-19,338000.000000,338000.000000,338000.000000,338000.000000,338000.000000,0
2021-04-20,337000.000000,337000.000000,335000.000000,335000.000000,335000.000000,0
2021-04-21,335000.000000,338500.000000,335000.000000,338500.000000,338500.000000,0
2021-04-22,340500.000000,340500.000000,340500.000000,340500.000000,340500.000000,0
2021-04-23,337500.000000,340000.000000,337500.000000,340000.000000,340000.000000,0
2021-04-26,340500.000000,340500.000000,340500.000000,340500.000000,340500.000000,0
2021-04-27,338000.000000,339000.000000,338000.000000,339000.000000,339000.000000,0
2021-04-28,340000.000000,340000.000000,340000.000000,340000.000000,340000.000000,0
2021-04-29,343000.000000,343000.000000,343000.000000,343000.000000,343000.000000,0
2021-04-30,345000.000000,345000.000000,345000.000000,345000.000000,345000.000000,0
2021-05-03,345000.000000,348500.000000,345000.000000,348500.000000,348500.000000,0
2021-05-04,348500.000000,348500.000000,348500.000000,348500.000000,348500.000000,0
2021-05-05,351500.000000,354500.000000,351500.000000,354500.000000,354500.000000,0
2021-05-06,357500.000000,357500.000000,357500.000000,357500.000000,357500.000000,0
2021-05-07,358000.000000,358000.000000,358000.000000,358000.000000,358000.000000,0
2021-05-10,360000.000000,364000.000000,360000.000000,364000.000000,364000.000000,0
2021-05-11,361000.000000,361000.000000,354000.000000,354000.000000,354000.000000,0
2021-05-12,354500.000000,356000.000000,354500.000000,356000.000000,356000.000000,0
2021-05-13,351500.000000,356000.000000,351500.000000,356000.000000,356000.000000,0
2021-05-14,359500.000000,359500.000000,359500.000000,359500.000000,359500.000000,0
2021-05-17,360000.000000,360000.000000,357000.000000,357000.000000,357000.000000,0
2021-05-18,357500.000000,357500.000000,356000.000000,356000.000000,356000.000000,0
2021-05-19,352500.000000,352500.000000,350000.000000,350000.000000,350000.000000,0
2021-05-20,355500.000000,355500.000000,355500.000000,355500.000000,355500.000000,0
2021-05-21,356500.000000,356500.000000,356500.000000,356500.000000,356500.000000,0
2021-05-25,356500.000000,356500.000000,355500.000000,355500.000000,355500.000000,0
2021-05-26,354000.000000,354500.000000,354000.000000,354500.000000,354500.000000,0
2021-05-27,354500.000000,354500.000000,354500.000000,354500.000000,354500.000000,0
2021-05-28,358000.000000,358000.000000,356500.000000,356500.000000,356500.000000,0
2021-05-31,356500.000000,356500.000000,356500.000000,356500.000000,356500.000000,0
2021-06-01,357500.000000,357500.000000,357500.000000,357500.000000,357500.000000,0
2021-06-02,356500.000000,356500.000000,356500.000000,356500.000000,356500.000000,0
2021-06-03,361500.000000,361500.000000,361500.000000,361500.000000,361500.000000,0
2021-06-04,362500.000000,362500.000000,360500.000000,360500.000000,360500.000000,0
